escenario_id,texto,distorsion,peso
1,Seguro me veo mal o doy vergüenza.,personalizacion,2
1,Quizá la publiqué en mal horario.,neutro,0
1,"Me incomoda un poco, pero intento no pensar mucho en eso.",neutro,1
1,La elimino porque siento que hice el ridículo.,todo_o_nada,3
2,Seguro están molestos conmigo.,lectura_mente,3
2,Tal vez están ocupados.,neutro,0
2,Empiezo a sentir ansiedad mientras espero.,neutro,1
2,Prefiero no volver a escribir.,todo_o_nada,2
3,Nunca encajo realmente con ellos.,todo_o_nada,3
3,Quizá fue algo improvisado.,neutro,0
3,Me siento triste aunque trato de ignorarlo.,neutro,1
3,Pienso demasiado en qué hice mal.,personalizacion,2
4,Seguro dije algo estúpido.,lectura_mente,3
4,Los silencios pasan normalmente.,neutro,0
4,Me pongo muy nervioso después.,neutro,1
4,Dejo de hablar para no incomodar.,todo_o_nada,2
5,Todos me van a juzgar.,lectura_mente,3
5,No pasa nada si alguien no está de acuerdo.,neutro,0
5,Escribo y borro varias veces.,neutro,1
5,Prefiero no publicar nada.,todo_o_nada,2
6,"Si me equivoco, todos se burlarán.",catastrofico,3
6,Podría intentar responder.,neutro,0
6,"Quiero participar, pero me gana el miedo.",neutro,1
6,Evito levantar la mano.,todo_o_nada,2
7,Voy a hacer el ridículo.,catastrofico,2
7,Puedo ponerme nervioso y aun así hacerlo.,neutro,0
7,Paso días pensando en eso.,filtro_mental,2
7,Quisiera desaparecer ese día.,todo_o_nada,3
8,Seguro nadie quiere trabajar conmigo.,lectura_mente,3
8,A veces la gente se organiza rápido.,neutro,0
8,Me siento incómodo acercándome.,neutro,1
8,Espero solo hasta que alguien me hable.,todo_o_nada,2
9,Todos notaron lo inútil que soy.,personalizacion,3
9,Cualquiera puede equivocarse.,neutro,0
9,No dejo de pensar en eso.,filtro_mental,2
9,Evito participar después.,todo_o_nada,2
10,Van a pensar que soy tonto.,lectura_mente,3
10,Preguntar es normal.,neutro,0
10,Dudo mucho antes de hacerlo.,neutro,1
10,Prefiero quedarme callado.,todo_o_nada,2
11,Nunca seré suficiente.,todo_o_nada,3
11,Cada persona tiene su ritmo.,neutro,0
11,Me afecta aunque no lo diga.,neutro,1
11,Prefiero aislarme.,todo_o_nada,2
12,Seguro piensan mal de mí.,lectura_mente,3
12,Tal vez no lo dijeron con mala intención.,neutro,0
12,Le doy vueltas todo el día.,filtro_mental,2
12,Evito hablar con ellos.,todo_o_nada,2
13,Voy a quedar mal.,catastrofico,3
13,Intentaré hacerlo aunque me dé nervios.,neutro,0
13,Siento mucha presión.,neutro,1
13,Busco excusas para evitarlo.,todo_o_nada,2
14,Nunca encajaré.,todo_o_nada,3
14,Cada persona es distinta.,neutro,0
14,Me siento incómodo en reuniones.,neutro,1
14,Prefiero no participar.,todo_o_nada,2
15,Todo lo hago mal.,todo_o_nada,3
15,Puedo mejorar algunas cosas.,neutro,0
15,La crítica se queda en mi cabeza.,filtro_mental,2
15,Me cierro emocionalmente.,todo_o_nada,2
16,Pierdo completamente el control del tiempo.,todo_o_nada,3
16,Intento poner límites,neutro,0
16,Después me siento culpable.,personalizacion,1
16,Evito pensar en lo pendiente.,filtro_mental ,2
17,Siempre arruino todo por distraído.,todo_o_nada ,3
17,Intento responder apenas lo veo.,neutro,0
17,Me siento mal cuando lo recuerdo tarde.,neutro,1
17,Me abruma responder.,catastrofico,2
18,No puedo concentrarme en nada.,todo_o_nada,3
18,A veces me distraigo rápido.,neutro,0
18,Quiero responder pero lo olvido,neutro,1
18,Me siento saturado mentalmente,catastrofico,2
19,No puedo desconectarme.,todo_o_nada,3
19,Intento dejarlo poco a poco.,neutro,0
19,Siento agotamiento mental.,neutro,1
19,Uso el celular para evitar pensar.,filtro_mental,2
20,No entiendo por qué no puedo empezar.,personalizacion,3
20,Intento organizarme,neutro,0
20,Me frustra perder tanto tiempo.,neutro,1
20,Evito la tarea hasta el último momento.,todo_o_nada,2
21,Me bloqueo y no empiezo.,todo_o_nada,3
21,Intento dividir la tarea.,neutro,0
21,Siento ansiedad mientras pasan los días.,neutro,1
21,Espero hasta el último momento.,todo_o_nada,2
22,Mi mente se desconecta rápido.,todo_o_nada,3
22,Intento volver a concentrarme.,neutro,0
22,Me frustra perder el hilo.,neutro,1
22,Termino pensando en otra cosa.,filtro_mental,2
23,No sé ni por dónde empezar.,catastrofico,3
